latitude;longitude;alt;dist_town;dist_coast;area;rain;economy;agriculture;anomalies_t_print_NW;anomalies_print_NE;anomalies_hiv_SW;anomalies_hiv_SE;p_NW_Europe;p_NE_Europe;NAO
36,87429337;6,10042602;1,243243243;6185,474029;1461,436477;0,09488193;275,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,28804167;6,084291667;51,66666667;12685,79168;451655,3621;0,001853013;53,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,67093229;-0,526354167;88,10869565;1837,412779;12205,44726;0,045761973;166,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,71966071;-0,393859503;81,25359503;4501,601033;16206,25763;0,419192303;170,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,78101271;8,125222034;2,831578947;8240,422207;16241,11744;0,57053196;310,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,78941371;7,505265298;10,72001699;8150,897917;27904,63329;151,8332004;322,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,89242972;8,325623807;-2,937415089;12972,36433;4450,543008;13,19365866;310,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,84512223;8,390041858;22,50757004;9079,192095;8803,778474;36,40962871;310,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,60121609;-0,427398606;101,2921956;7292,102151;26527,67634;5,003709349;170,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,70463611;6,046347222;11,79411765;24139,14867;407835,5637;0,041894694;67,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,85448355;8,497682218;-1,44490912;8403,946128;7441,348306;2,018574643;310,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,88437593;6,479612911;784,5523374;9804,775889;143414,5548;15,71560908;187;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,74919943;-0,125743125;-0,538641686;7654,767881;6298,974668;0,849611392;170,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,77698151;8,016254931;-0,069527715;12383,09879;12416,31974;73,07874349;310,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,77004817;3,335099965;22,53722504;2984,645264;2435,858393;1,400020555;134,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,79913635;6,130212448;812,3076923;15841,31687;140730,2723;0,249992502;187;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,00914939;0,992137432;59,39214664;10597,97705;52318,23228;13,5928893;222,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,14992578;7,762275997;869,0748344;11967,00494;96987,21848;1,7802078;325;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,78300781;7,090640146;835,1817335;13223,99938;153312,5536;2,521406977;255,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,41266005;6,095003505;43,13636364;14653,08223;447170,3757;0,14287876;53,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,74953924;3,939070304;41,02487562;3142,909675;20916,43532;0,268772866;164,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,55428263;6,089758907;-20,39344262;33116,27733;297277,6547;0,068920747;139,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,73151506;3,817125;187,0538721;3093,31603;22237,02043;0,344997505;164,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
32,44570701;3,764614471;440,5090909;4534,386246;576647,3627;0,061920193;89,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,33382367;6,842552838;762,6666667;17872,02027;77037,58148;0,79605821;208,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,13943576;8,2475625;582,4115942;16864,36682;103947,1465;0,414303302;377,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,6987825;-0,299627025;54,14361702;12770,50428;17446,749;45,64093781;170,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,05029765;5,68061926;905,7927515;17456,08677;88524,42929;20,42441522;220,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,71505951;6,525500402;831,2591425;21128,36755;166936,1449;23,13594146;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,87662746;6,544273963;784,0043067;17081,00674;145626,3292;67,68139051;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,66297561;6,971701122;833,3154158;23523,13683;168827,1359;6,183677397;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
27,79047282;-0,325682047;222;7612,264046;969198,1029;0,383108911;1,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
28,21217605;-0,109424738;284;21185,59396;922082,1605;0,167872607;4,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,24525976;3,06612309;681,5136842;5293,805489;68943,00122;1,131271507;196,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,71029861;2,879967014;53,8988764;3642,466473;5528,960389;0,556480898;155,4;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,66128324;2,925190934;86,82162162;2194,543225;13794,00612;0,878602397;155,4;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,65449294;4,130058633;139,3809086;7241,915369;33542,32002;6,491430604;197,7;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,90600487;3,854217977;10,32142857;6695,45494;1571,181593;0,30770088;164,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,65155683;3,602002394;71,48155097;2526,915234;20796,3374;1,915304382;164,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,46061457;3,526935203;270,4434429;16293,93135;43639,87605;21,59062169;224,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,1319184;5,590349488;376,6474133;41871,37356;209613,7741;7,953085761;174,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,0732157;3,503282144;771,3846154;34070,77476;359617,3711;0,017183269;233,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,8786805;3,455961031;1119,942922;4528,43386;254839,7121;1,02056616;300,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,40586077;2,430394802;1075,860856;12630,02498;298985,4332;0,75849117;277;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,46385216;8,349885152;964,5868263;37536,82582;196390,477;0,187329995;296;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,85302669;5,971889045;7,924242424;14143,0451;386792,5417;0,083002061;64;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,14269834;5,972852868;-31,42560409;26564,1741;348582,834;52,46752939;82,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,79777304;6,044004353;4,8;24536,66456;395540,4485;0,025879032;67,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,9362181;6,938149138;993,0168067;8618,414119;131272,7011;0,138701754;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,03759119;7,020525632;837;18342,1612;117721,3409;0,000334726;264,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,22775839;-1,675636844;1036,598474;34284,45577;119345,8964;1,660834745;158,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,86535585;-1,654409388;285,4469463;4243,427472;37958,26722;12,05035837;125,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,439;-1,03946875;89,8;9186,957608;22097,15662;0,083653325;164,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,02746741;-0,716609436;589,4471154;18097,95834;78391,45449;0,243073101;159,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,27138466;-0,077428246;279,0683714;6767,249881;71696,838;6,458402783;162,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,11941904;-0,023547239;430,0669782;12496,79907;92794,23434;6,784506658;162,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,51051883;6,269660819;173,2135845;1559,33526;54685,54555;55,1032629;275,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,34090315;6,264819696;826,9193316;12857,4892;76118,90998;4,133533015;199,4;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,44126786;6,17377291;322,3216374;5998,256944;59552,44146;0,204143672;199,4;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,40209028;-0,832402778;1165,346154;60855,02203;254908,9414;0,033398584;175,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,3030437;-0,80591644;1144,040528;55325,16923;268165,6294;3,746581173;175,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,37325968;-0,043199529;1169,157284;33136,06485;301082,7457;8,707647956;183,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,2571438;-0,273455791;1162,569422;4304,07918;301931,8716;22,95014288;183,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
32,70412041;-1,147027811;1242,833212;63742,14432;331004,7326;1,565199217;177,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,1940386;5,190092422;397,7287736;43746,58927;199327,2939;1,985525749;158,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,52109033;6,513470523;979,7345635;6056,174484;191631,7377;9,914630331;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,573273;0,724102637;1068,625;62841,17059;190323,3529;0,072877713;208,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,54120192;4,003144231;575,7058824;22700,60706;179323,9135;0,037121366;228,7;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,856875;4,09275;595,8333333;32868,90351;143258,1316;0,015289689;228,7;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,84252734;4,086277344;594;32351,70084;144730,8332;0,06114769;228,7;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,795825;4,0857;550,3;28098,65408;150486,0041;0,009548708;228,7;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,00085981;3,847778914;969,1644393;27293,37483;246897,5991;1,9879181;272,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,56014612;1,90375041;806,276054;12049,55177;138438,1527;6,963329043;215,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,74301941;2,13422083;863,3652365;21758,17839;114979,6001;1,075425067;228,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,22068497;7,29326314;668,1498258;19137,85267;97700,61985;0,356171338;264,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,46865068;7,212070136;349,316906;6299,940378;62462,01055;9,018397891;264,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,3348979;5,458350191;1025,568627;6810,559621;44364,95555;0,125948145;235;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,29304625;5,42975125;1104,385093;2673,53335;49439,41224;0,192184042;235;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,27425;5,40096875;1078,628571;1566,999437;51661,16108;0,076855105;235;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,18949136;5,873562788;947,3571429;9001,369234;79958,33046;0,208243623;220,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,54175028;0,851652915;985,7119649;69745,91249;201117,3223;5,277984323;208,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,51263984;0,886676626;986,3092236;73576,74354;206503,8066;1,751030714;208,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,47916061;0,856173409;987,089736;78167,49303;208628,2856;7,821302099;211,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,49495394;0,835068179;989,1460957;76173,96629;205601,9066;0,467794068;211,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,46405273;0,822120294;986,1815505;80449,97082;208514,1222;1,1747741;211,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,46253769;0,803907567;985,0315024;80197,22724;207711,4871;1,435010535;211,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,5082298;0,819125238;992,9102334;74541,01678;203161,0019;0,641752193;208,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,49965056;0,802379775;987,3176144;75688,44932;203246,1657;0,83640556;211,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,71895821;5,817166174;128,8600093;5761,758528;13452,03428;2,5343992;264,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,75386364;5,834596591;69,45945946;1587,362133;8768,007342;0,042533084;264,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,7291541;5,075992191;6,203125;5560,581848;320,031703;0,079128769;254,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,64045474;5,335992929;7,119047619;2070,886603;865,6969576;0,04852721;254,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,71612758;5,079372423;9,679012346;4894,815141;1731,274042;0,093720038;254,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,57722363;4,652824466;111,6666667;5823,36619;43185,09946;0,014944048;228,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,41677287;4,687722367;283,4441679;3454,341926;60770,37157;7,126933164;238,4;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,8423375;7,4435;36,30769231;2053,139357;25253,41248;0,019355564;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,87115679;7,380018294;5,243781095;9947,371777;21632,61974;0,732326827;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,84023919;7,803991162;3,237318041;7260,254049;2706,403137;2,710062995;322,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,87884062;7,727461505;-0,818181818;3682,607277;4113,091059;0,012309672;322,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,85308163;7,417698484;10;5290,793399;25641,27855;0,002841083;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,81476389;7,443007353;14,88709677;3410,400959;28235,97547;0,148016715;303,5;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,84533329;7,727927449;4,347540984;1995,988505;6533,099038;0,363576141;322,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,63053695;7,613733491;128,0314961;16665,66635;37741,76131;0,153452774;322,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,67308701;7,7210625;45,73417722;3344,1967;27185,65071;0,196991627;322,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,42136161;6,850482143;72,16666667;3556,482563;364539,0957;0,259818518;58,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,54385041;1,319241846;996;48398,19581;230569,7314;86,56479124;222,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
27,14319447;-0,160917089;167;11451,15933;1052408,635;0,063300506;0,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,57808068;-0,152522507;1078,591837;24935,65265;271323,6923;0,335594909;184,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,73106617;6,862618117;15,63000598;23781,93091;356135,6833;3,847443944;84,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,79422189;5,892375527;18,08333333;3239,56874;5043,985625;0,027100888;264,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,78605585;4,804109043;785,95;13179,26944;128496,9264;0,044873407;201,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,67844337;-0,561281447;1032,347722;49271,3364;237389,8673;1,699917964;179,4;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,91167863;-0,333699273;985,329277;30075,66008;222646,637;1,605187854;184,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,57762969;6,904131262;854,4666667;11423,49404;180492,3773;0,087092996;236;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,97454045;5,993859495;-31,35241657;8760,996913;371207,8931;4,010100214;64;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,01388442;5,986058911;-31,57277159;11251,53499;365856,3803;3,308441538;82,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,06939113;2,036658602;1433,907801;75109,14685;331318,8303;0,173906738;277;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,08009958;7,402997281;737,467527;16120,90629;116407,8244;16,97600472;264,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,62833777;0,770366117;1042,089286;58953,30088;186413,8289;1,112541917;208,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
34,34841225;0,579228183;987,0956641;68692,81436;211104,2195;1,688025167;211,6;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
35,77808238;4,797489671;746;11949,90323;129782,7604;0,002046445;201,2;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,91076232;-0,360717316;984,1315789;32321,43514;221190,4998;2,104695811;184,9;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
32,45251609;-0,768966584;1057,064103;45492,25418;375338,8349;0,092701238;114;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,31814868;-0,164910814;1177,232411;17754,29702;301151,6886;1,986226693;183,1;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
33,98395009;-1,507892065;1138,733051;57484,71232;156138,2235;0,273674172;176,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
32,94715574;-0,037723361;1041,192982;8953,913756;350769,2791;0,124374963;165,8;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
36,18973986;2,836388514;963,3448276;11724,31233;62723,6554;0,03550709;175,3;0,8;16,239;0,5;1,67;0,5;0,41;57,92;50,43;-0,21
